book_id,Title,Price
1578561353,"Lost Romance Ranch (Route 66 Series, Book 3)",
864422709,Lonely Planet India & Bangladesh Travel Atlas,
570037298,Noodles Du Jour,
582485541,The Rise of the Great Powers 1648 - 1815 (The Modern European State System),
1859673643,Basil: A Book of Recipes (The Little Recipe Book Series),
1570030898,"Knowledge, Power and International Policy Coordination (Studies in International Relations)",34.95
067001012X,The Portable Poe: 2,
756606926,Insect (DK Eyewitness Books),
130215325,Philosophic Classics: From Plato to Derrida (3rd Edition),
975318004,The St. Louis German Catholics,19.95
929775023,Twenty Years on the Cape: My Time As a Surfcaster,
B000NPR4SI,"The Pony Rider Boys in Alaska; or, The Gold Diggers of Taku Pass",
643057978,"Landscape Ecology, Function and Management",
1582611459,A Tradition Restored: USC's 2003 Championship Season,
1841722170,Travel Journal,
096723770X,Acting Across America,
141011890,Outposts,
1564966755,Making Books by Hand: A Step-by-Step Guide,
805055916,The Manikin: A Novel,
097553310X,The Collector's Edition of Victorian Erotica,
B0007DRE5E,O'Higgins and Don Bernardo,
755302303,Whispers of the Dead (Sister Fidelma Anthology 2),
B000HU0H2E,Island,
814473423,Raising Gifted Kids: Everything You Need to Know to Help Your Exceptional Child Thrive,10.71
9501707318,El Kybalion,
766010325,Frank Lloyd Wright: Visionary Architect (People to Know),
687975700,The Top Ten List for Christians with Leader's Guide: Priorities for Faithful Living,10.91
1931055017,Pla/Cebo,
3125171326,Pons Global Dictionary English German : Pons Global Woerterbuch Klett Englisch Deutsch,
1930771142,You Can Have Your Cheese and Eat It Too!: A Complete Guide for Closing the Gap Between Where You Are and Where You Want to Be,
B0007E2A8E,The country-house burglar,
B000MU77GS,"ASEAN's Diplomatic and Security Culture: Origins, Development and Prospects",
B0007FSDKC,The Handsome road,
521531004,The Organic Codes: An Introduction to Semantic Biology,51.38
1893110028,The Lost Village of Central Park (Mysteries in Time),
B000H4FBSA,Elementary Differential Equations,
130325384,Environmental Science: Toward A Sustainable Future (8th Edition),
B0006BV3FE,"Records of Shelley, Byron, and the author",
B0007F8Q9K,Lincoln reconsidered;: Essays on the Civil War era,
312300794,The New York Times Weekend Challenge: Formidable but Fun Crosswords,10.94
961662034,Everyday Magic: The Power of Memes,
1570543976,Brilliant Bead Rings (Crafts),
738818062,Emotional Honesty & Self-Acceptance,
B000GYPB5Y,Learn to Play Golf in a Weekend,
9077908013,Living from Neutrality,17.9
60539461,Little Critter: Just a School Project,3.99
9687968486,Tu Beb: desde la Concepcin hasta los 12 meses (Spanish Edition),
1933112050,TV Wonderland: The Enchantment of Early Television,
B0008637GU,Life with father,
B000K71JJO,"The Story Of Civilization (Eleven Volumes, Complete)",
911057021,Christmas with Dickens,
B000MYPLMG,"10,000 Leagues Over The Sea",
B000MOL9V8,Neuropsychology of Weight Control: Personal Progress Journal,
931580161,Life 101 : Everything We Wish We Had Learned About Life in School -- But Didn't (The Life 101 Series),
595162053,Kenny Doin' Just Fine,9.94
754803333,"Herbs and Spices: A Cook's Bible--The Ultimate Guide to Herbs and Spices, with Over 200 Recipes",
B000HVVJQ6,The Pocket Book of Ogden Nash,
